_id,LOGRADOURO,ZONA,SITUACFISI,DATA,TELEFONE,GEOCODIGO,FONTE,ADMINISTRA,NUMERO,OPERACION,CLASSECNAE,MUNICIPIO,BAIRRO,NOMEABREV,SIGLAEXTEN,NOME,CEP,CODESCOLA,SITUACAO,ORIGEM,COORDX,COORDY,Id
1402,Rua 13 de Maio,Desconhecido,"",jan/10,(27) 3241-2310 / 3328-4393,3205002,SEDU,Municipal,s/n,Sim,Fundamental,Serra,Jardim Tropical,EMEF,Escola Municipal de Ensino Fundamental,EMEF Professor Luiz Baptista,29162-040,32067844,EM ATIVIDADE,"","-40,2731551928968","-20,2056200550402",1706
1403,Rua dos Piriquitos,Desconhecido,"",jan/10,(27) 3281-3768,3205002,SEDU,Privada,1,Sim,Infantil e Fundamental,Serra,Eurico Salles,"","",Escola Beija Flor,29160-180,32036710,PARALISADA,"","-40,2725367287004","-20,2360244220726",1707
1404,Rua Elias Tomas,Desconhecido,"",jan/10,(27) 3338-9707,3205002,SEDU,Municipal,s/n,Sim,Infantil,Serra,Boa Vista,CMEI,Centro Municipal de Educação Infantil,CMEI José Luiz de Deus Amado,29161-520,32036973,EM ATIVIDADE,"","-40,2787148433869","-20,2356590546189",1708
1405,Rua Jerônimo Monteiro,Desconhecido,"",jan/10,(27) 3318-9323 / 3228-6030,3205002,SEDU,Municipal,s/n,Sim,Fundamental,Serra,Jardim Carapina,EMEF,Escola Municipal de Ensino Fundamental,EMEF João Paulo II,29161-758,32075103,EM ATIVIDADE,"","-40,2884599974221","-20,2341926138137",1709
1406,Rua Edison Pompermayer,Desconhecido,"",jan/10,(27) 3328-1791,3205002,SEDU,Municipal,s/n,Sim,Fundamental,Serra,Manoel Plaza,EMEF,Escola Municipal de Ensino Fundamental,EMEF Augusto Ruschi,29160-420,32036272,EM ATIVIDADE,"","-40,2696063745888","-20,2326978469767",1710
1407,Rua da Indepenência,Desconhecido,"",jan/10,(27) 3228-1385,3205002,SEDU,Estadual,s/n,Sim,Fundamental e Médio,Serra,Carapina,EEEFM,Escola Estadual de Ensino Fundamental e Médio,EEEFM Rômulo Castello,29160-050,32036523,EM ATIVIDADE,"","-40,2730715735274","-20,2311690148449",1711
1408,Avenida Porto Seguro,Desconhecido,"",jan/10,(27) 3328-8836 / 3241-4262,3205002,SEDU,Municipal,s/n,Sim,Infantil,Serra,Jardim Carapina,CMEI,Centro Municipal de Educação Infantil,CMEI Curumim,29161-700,32036981,EM ATIVIDADE,"","-40,286999955957","-20,23101676615",1712
1409,Rua Italina Pereira Motta,Desconhecido,"",jan/10,(27) 3337-6099,3205309,SEDU,Municipal,501,Sim,Fundamental,Vitória,Jardim Camburi,EMEF,Escola Municipal de Ensino Fundamental,EMEF Elzira Vivácqua dos Santos,29090-370,32040270,EM ATIVIDADE,"","-40,2674531425276","-20,2569522154923",1713
1410,Rua Presidente Kennedy,Desconhecido,"",jan/10,(27) 3228-1945 / 3241-2306,3205002,SEDU,Municipal,s/n,Sim,Fundamental,Serra,Jardim Carapina,EMEF,Escola Municipal de Ensino Fundamental,EMEF Padre Gabriel,29160-970,32036400,EM ATIVIDADE,"","-40,284337230855","-20,231025372922",1714
1411,Rua Coronel Edgar,Desconhecido,"",jan/10,(27) 3338-1155,3205002,SEDU,Estadual,s/n,Sim,Fundamental,Serra,Praia de Carapebus,EEEF,Escola Estadual de Ensino Fundamental,EEEF Carapebus,29164-630,32036094,EM ATIVIDADE,"","-40,216854571914","-20,2311978606224",1715
1412,Rua Timóteo,Desconhecido,"",jul/10,(27) 3228-6002,3205002,IJSN,Privada,s/n,Sim,Infantil,Serra,Jardim Carapina,"","",Creche e Escola Pingo de Gente,29175-336,32078030,PARALISADA,"","-40,2909816875223","-20,228474348268",1716
1413,Rua Constante Nery,Desconhecido,"",jan/10,(27) 3328-0659,3205002,SEDU,Municipal,s/n,Sim,Fundamental,Serra,Carapina Grande,EMEF,Escola Municipal de Ensino Fundamental,EMEF Américo Guimarães Costa,29161-260,32036043,EM ATIVIDADE,"","-40,2771617581958","-20,2282832060324",1717
1414,Rua Quatorze,Desconhecido,"",jan/10,(27) 3228-1855,3205002,SEDU,Privada,s/n,Não,Infantil,Serra,André Carloni,"","",Escola Balão Azul,29160-000,32036701,EXTINTA,"","-40,2793123972793","-20,2282396651372",1718
1415,Rua B,Desconhecido,"",jan/10,(27) 3241-2339,3205002,SEDU,Municipal,s/n,Sim,Infantil,Serra,André Carloni,CMEI,Centro Municipal de Educação Infantil,CMEI Raio de Sol,29160-000,32037031,EM ATIVIDADE,"","-40,2813276915421","-20,2273117256721",1719
1416,Rua Maria de Fátima da Costa,Desconhecido,"",jan/10,(27) 3228-1588 / 3328-0775,3205002,SEDU,Estadual,s/n,Sim,Fundamental e Médio,Serra,André Carloni,EEEFM,Escola Estadual de Ensino Fundamental e Médio,EEEFM Dom João Batista da Motta Albuquerque,29161-828,32036116,EM ATIVIDADE,"","-40,280631514472","-20,2271687147595",1720
1417,Rua Constante Nery,Desconhecido,"",jan/10,(27) 3241-2338,3205002,SEDU,Municipal,6,Sim,Infantil,Serra,Carapina Grande,CMEI,Centro Municipal de Educação Infantil,CMEI Professora Maria Hilda Aleixo,29161-260,32037007,EM ATIVIDADE,"","-40,2772183666236","-20,2270677004812",1721
1418,Rua Trinta e Dois,Desconhecido,"",jan/10,(27) 3328-0151 / 3138-8198,3205002,SEDU,Municipal,s/n,Sim,Fundamental,Serra,André Carloni,EMEF,Escola Municipal de Ensino Fundamental,EMEF Elpídia Coimbra,29161-837,32036132,EM ATIVIDADE,"","-40,2836979074257","-20,2267863654736",1722
1419,Avenida Presidente Getúlio Vargas,Desconhecido,"",jan/10,(27) 3328-2571 / 3328-8839,3205002,SEDU,Municipal,66,Sim,Fundamental,Serra,São Geraldo,EMEF,Escola Municipal de Ensino Fundamental,EMEF Professora Maria Magdalena Pisa,29160-013,32036507,EM ATIVIDADE,"","-40,2689152225564","-20,2268350919411",1723
1420,Rua Vinte e Seis,Desconhecido,"",jan/10,(27) 3328-4443,3205002,SEDU,Privada,562,Não,"",Serra,André Carloni,"","",Escola Ebenezer,29216-010,32036752,EXTINTA,"","-40,282319988569","-20,2261289554996",1724
1421,Rua Trinta e Seis,Desconhecido,"",jan/10,(27) 3328-8096,3205002,SEDU,Privada,4,Sim,Infantil,Serra,André Carloni,"","",Escola Crescer e Aprender,29160-000,32036736,EM ATIVIDADE,"","-40,2841852035718","-20,2260060147399",1725
1422,Cabeceira do Rio Bonito,Rural,"",Set/2010,(27) 3266-1269,3204500,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,Santa Leopoldina,Cabeceira do Rio Bonito,EMUEF,Escola Municipal Unidocente de Ensino Fundamental,EMUEF Cabeceira do Rio Bonito,29640-000,32085206,EM ATIVIDADE,"","-40,6021070305718","-19,9988927237184",1726
1423,Rua Bernadino Monteiro,Urbana,"",Out/2010,(27) 3259-3997,3204609,IJSN,Privada,700,Sim,Fundamental e Médio,Santa Teresa,Dois Pinheiros,"","",Educandário Seráfico São Francisco de Assis,29650-000,32032943,EM ATIVIDADE,"","-40,5912624968673","-19,9372691217602",1727
1424,Comunidade de Luxemburgo de Cima,Rural,"",Set/2010,(27) 3266-1269,3204500,IJSN,Municipal,s/n,Sim,Fundamental,Santa Leopoldina,Comunidade de Luxemburgo de Cima,EMUEF,Escola Municipal Unidocente de Ensino Fundamental,EMUEF Alto Califórnia,29640-000,32085818,EM ATIVIDADE,"","-40,5923144422732","-20,1530145175844",1728
1425,Comunidade Ribeirão Timbuí,Rural,"",Set/2010,(27) 3266-1269,3204500,IJSN,Municipal,s/n,Sim,Fundamental,Santa Leopoldina,Comunidade Ribeirão Timbuí,EMUEF,Escola Municipal Unidocente de Ensino Fundamental,EMUEF Rio do Norte,29640-000,32084200,EM ATIVIDADE,"","-40,5872748901308","-20,0231999044518",1729
1426,Rodovia Josil Espíndula Agostini,Urbana,"",Out/2010,(27) 3259-3612,3204609,IJSN,Municipal,1060,Sim,Fundamental,Santa Teresa,Residência,EMEF,Escola Municipal de Ensino Fundamental,EMEF Professor Ethevaldo Damazio,29650-000,32094426,EM ATIVIDADE,"","-40,5818827286203","-19,9420081574443",1730
1427,Comunidade de Luxemburgo,Rural,"",Set/2010,(27) 3266-1269,3204500,IJSN,Municipal,s/n,Sim,Fundamental,Santa Leopoldina,Comunidade de Luxemburgo,EMPEF,Escola Municipal Pluridocente de Ensino Fundamental,EMPEF Luxemburgo,29640-000,32031793,EM ATIVIDADE,"","-40,5820863168852","-20,1170757761493",1731
1428,Comunidade de Tirol,Rural,"",Set/2010,(27) 3266-1269,3204500,IJSN,Municipal,s/n,Sim,Fundamental,Santa Leopoldina,Comunidade de Tirol,EMPEF,Escola Municipal Pluridocente de Ensino Fundamental,EMPEF California,29640-000,32032099,EM ATIVIDADE,"","-40,5804134683227","-20,1982473692277",1732
1429,Rua dos Ciprestes,Desconhecido,"",jan/10,"",3205002,SEDU,Privada,s/n,Não,"",Serra,Feu Rosa,CE,Centro Educacional,CE Primeiros Passos,29172-120,32035942,PARALISADA,"","-40,2032382961134","-20,175890410721",1733
1430,Rua dos Cravos,Desconhecido,"",jul/10,(27) 3243-3111 / 3138-8703,3205002,IJSN,Municipal,s/n,Sim,Fundamental,Serra,Feu Rosa,EMEF,Escola Municipal de Ensino Fundamental,EMEF Feu Rosa,29172-105,32036140,EM ATIVIDADE,"","-40,2019013833814","-20,173607517004",1734
1431,Avenida Brasil,Desconhecido,"",jan/10,(27) 3338-8088,3205002,SEDU,Municipal,150,Sim,Fundamental,Serra,Novo Horizonte,EMEF,Escola Municipal de Ensino Fundamental,EMEF Professora Aurea Maria Andrade Silva Felício,29163-331,32075154,EM ATIVIDADE,"","-40,2497289904679","-20,2178511424764",1735
1432,Avenida Mário da Silva Nunez,Desconhecido,"",jul/10,(27) 3281-2621,3205002,IJSN,Privada,s/n,Sim,Técnico,Serra,Jardim Limoeiro,"","",Centro Universo de Educação e Desenvolvimento Ltda,29160-000,32079141,EM ATIVIDADE,"","-40,2643774580439","-20,2172927303594",1736
1433,Rua Distrito Federal,Desconhecido,"",jan/10,(27) 3338-2183 / 3241-2329,3205002,SEDU,Municipal,5,Sim,Infantil,Serra,Central Carapina,CMEI,Centro Municipal de Educação Infantil,CMEI Central Carapina,29161-580,32036930,EM ATIVIDADE,"","-40,2749466208364","-20,2168922448654",1737
1434,Rua Distrito Federal,Desconhecido,"",jan/10,(27) 3228-2904 / 3328-9100,3205002,SEDU,Estadual,3,Sim,Fundamental,Serra,Central Carapina,EEEF,Escola Estadual de Ensino Fundamental,EEEF Jones José do Nascimento,29161-567,32036167,EM ATIVIDADE,"","-40,2754141478833","-20,2167957066843",1738
1435,Rua Nelcy Lopes,Desconhecido,"",jan/10,(27) 3338-3387,3205002,SEDU,Municipal,s/n,Sim,Infantil,Serra,Jardim Limoeiro,CMEI,Centro Municipal de Educação Infantil,CMEI Penélope,29160-180,32037015,EM ATIVIDADE,"","-40,2651644728918","-20,2164688526998",1739
1436,Avenida Lourival Nunes,Desconhecido,"",jan/10,(27) 3328-2828 / 3434-4100,3205002,SEDU,Privada,181,Sim,Médio e Superior,Serra,Jardim Limoeiro,UCL,Faculdade Centro Leste,Faculdade Centro Leste - UCL,29164-050,32092202,PARALISADA,"","-40,266684425901","-20,2150759454197",1740
1437,Rua N,Desconhecido,"",jan/10,(27) 3328-9016,3205002,SEDU,Privada,s/n,Sim,Fundamental e Médio,Serra,Jardim Limoeiro,CE,Centro Educacional,CE Augusto Ferreira,29164-048,32070756,EM ATIVIDADE,"","-40,2639388025611","-20,2112559499828",1741
1438,Avenida Coronel Manoel Nunes,Desconhecido,"",jan/10,(27) 3218-1878,3205002,SEDU,Municipal,60,Sim,Fundamental,Serra,Jardim Tropical,EMEF,Escola Municipal de Ensino Fundamental,EMEF Dinorah Pereira Barcelos,29160-020,32036310,EM ATIVIDADE,"","-40,2727944441222","-20,2100114099019",1742
1439,Avenida Desembargador Mário da Silva Nunez,Desconhecido,"",jul/10,(27) 3041-7070,3205002,IJSN,Privada,1000,Sim,Superior,Serra,Jardim Limoeiro,SERRAVIX,Escola de Ensino Superior Anisio Teixeira,SERRAVIX Escola de Ensino Superior Anisio Teixeira,29164-240,3126,EM ATIVIDADE,"","-40,2627292941525","-20,2093931169418",1743
1440,Rua Santa Rita,Desconhecido,"",jan/10,(27) 3228-3639,3205002,SEDU,Municipal,s/n,Sim,Infantil,Serra,Jardim Tropical,CMEI,Centro Municipal de Educação Infantil,CMEI Amélia Pereira,29162-018,32036965,EM ATIVIDADE,"","-40,2738545452532","-20,2080701938123",1744
1441,Rua Cristovão Colombo,Desconhecido,"",jan/10,(27) 3319-0831,3205200,SEDU,Privada,219,Sim,Infantil,Vila Velha,Cristovão Colombo,CEEI,Centro de Ensino Educacional Infantil,CEEI Vovó Cy,29106-050,32079273,EM ATIVIDADE,"","-40,3038731436093","-20,3406589267722",1745
1442,Rua Henrique Moscoso,Desconhecido,"",jan/10,(27) 3388-4222 / 3329-0659,3205200,SEDU,Municipal,2266,Sim,Fundamental,Vila Velha,Jaburuna,UMEF,Unidade Municipal de Ensino Fundamental,UMEF Coronel Joaquim Freitas,29100-020,32038372,EM ATIVIDADE,"","-40,3030420011156","-20,3337691057395",1746
1443,Rua Castorino Pinto Vieira,Desconhecido,"",jan/10,(27) 3339-9349,3205200,SEDU,Privada,420,Sim,Fundamental,Vila Velha,Cristovão Colombo,CE,Centro Educacional,CE Marileide Leone,29108-060,32038348,EM ATIVIDADE,"","-40,3029745242712","-20,3404942866963",1747
1444,Rua Henrique Moscoso,Desconhecido,"",jul/10,(27) 3349-9127,3205200,IJSN,Privada,2172,Não,Fundamental e Médio,Vila Velha,Olaria,CE,Centro Educacional,CE Escola Irmãs Botelho,29123-230,32038615,PARALISADA,"","-40,3016038715303","-20,3336607504414",1748
1445,Avenida Vitória Régia,Desconhecido,"",jul/10,(27) 3243-1415,3205002,IJSN,Municipal,s/n,Sim,Infantil,Serra,Feu Rosa,CMEI,Centro Municipal de Educação Infantil,CMEI Moranguinho,29172-070,32037120,EM ATIVIDADE,"","-40,2072076283842","-20,1754446829022",1749
1446,Rua dos Eucaliptos,Desconhecido,"",jul/10,(27) 3252-9016,3205002,IJSN,Municipal,589,Sim,Fundamental,Serra,Feu Rosa,EMEF,Escola Municipal de Ensino Fundamental,EMEF Abel Bezerra - Espaço Alternativo,29172-140,32077513,EM ATIVIDADE,"","-40,2069487126487","-20,175577651567",1750
1447,Rua dos Carvalhos,Desconhecido,"",jul/10,(27) 3243-0334,3205002,IJSN,Privada,24,Sim,Infantil,Serra,Feu Rosa,CEI,Centro de Educação Infantil,CEI Doce Mar,29162-140,32066341,PARALISADA,"","-40,2035277500017","-20,1770294416596",1751
1448,Rua Samora Machel,Desconhecido,"",jan/10,(27) 3338-1388,3205002,SEDU,Municipal,s/n,Sim,Infantil,Serra,Cidade Continental,CMEI,Centro Municipal de Educação Infantil,CMEI Vovó Enadira Francisco Porsiliana,29170-000,32093608,EM ATIVIDADE,"","-40,2239848236586","-20,2179081635246",1752
1449,Rodovia ES-010,Desconhecido,"",jan/10,(27) 3318-2953,3205002,SEDU,Municipal,s/n,Sim,Fundamental,Serra,Camará,EMEF,Escola Municipal de Ensino Fundamental,EMEF Tancredo de Almeida Neves,29172-000,32036434,EM ATIVIDADE,"","-40,2219625053537","-20,2044225033187",1753
1450,Rodovia ES-010,Desconhecido,"",jul/10,(27) 3348-9200,3205002,IJSN,Privada,s/n,Sim,Superior,Serra,Manguinhos,UCL,Universidade Centro Leste,UCL Faculdade do Centro Leste,29173-087,1409,EM ATIVIDADE,"","-40,220369815388","-20,2029333510529",1754
1451,Avenida Honolulu,Desconhecido,"",jan/10,(27) 3241-5455,3205002,SEDU,Estadual,s/n,Sim,Fundamental e Médio,Serra,Cidade Continental,EEEFM,Escola Estadual de Ensino Fundamental e Médio,EEEFM Zumbi dos Palmares,29163-453,32066333,EM ATIVIDADE,"","-40,2186754533165","-20,213444250524",1755
1452,Avenida Colares Junior,Desconhecido,"",jul/10,(27) 3243-4121 / 3243-0011,3205002,IJSN,Municipal,324,Sim,Fundamental,Serra,Vila Nova de Colares,EMEF,Escola Municipal de Ensino Fundamental,EMEF Professora Valéria Maria Miranda,29172-810,32067704,EM ATIVIDADE,"","-40,2171252601799","-20,1760495463974",1756
1453,"Rodovia ES-010 - Km 6,5",Desconhecido,"",jan/10,(27) 3348-9200 / 3348-9207,3205002,SEDU,Federal,s/n,Sim,Médio,Serra,Manguinhos,IFES,Instituto Federal do Espirito Santo,IFES Instituto Federal do Espirito Santo - Unidade Serra,29164-231,32075979,EM ATIVIDADE,"","-40,2170547977014","-20,1974815441368",1757
1454,Rua dos Cangurus,Desconhecido,"",jul/10,(27) 3238-8398,3205002,IJSN,Municipal,s/n,Sim,Infantil,Serra,Cidade Continental,CMEI,Centro Municipal de Educação Infantil,CMEI Oceânia,29163-468,32102178,EM ATIVIDADE,"","-40,2158514745233","-20,2142782587324",1758
1455,Rua Flor de Cactos,Desconhecido,"",jul/10,(27) 3138-8703,3205002,IJSN,Municipal,s/n,Sim,Fundamental,Serra,Feu Rosa,EMEF,Escola Municipal de Ensino Fundamental,EMEF Flor de Cactos,29172-040,32036159,EM ATIVIDADE,"","-40,2138812933348","-20,172962806475",1759
1456,Rua Flor de Cactos,Desconhecido,"",jul/10,(27) 3243-3792 / 3243-2903,3205002,IJSN,Estadual,s/n,Sim,Fundamental e Médio,Serra,Feu Rosa,EEEFM,Escola Estadual de Ensino Fundamental e Médio,EEEFM Antônio Engrácio da Silva,29172-040,32036051,EM ATIVIDADE,"","-40,2132784801768","-20,1729113321398",1760
1457,Rua das Azaléias,Desconhecido,"",jan/10,(27) 2521-1610,3205002,SEDU,Privada,s/n,Não,Infantil,Serra,Feu Rosa,PE,Pré-escola,PE Pré-escola e Primeiro Grau Criança Feliz,29172-050,32037066,EXTINTA,"","-40,2123134722129","-20,1737697036845",1761
1458,"",Rural,"",Nov/2010,(27) 3330-1002,3204559,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,Santa Maria de Jetibá,Rio das Pedras,EMPEIEF,Escola Municipal Pluridocente de Ensino Infantil e Ensino Fundamental,EMPEIEF Rio Triunfo,29645-000,32032226,EM ATIVIDADE,"","-40,737985945426","-20,0822887465006",1762
1459,"",Rural,"",Dez/2010,"",3204559,IJSN,Municipal,s/n,Sim,Fundamental,Santa Maria de Jetibá,Comunidade Alto Caramuru,EMUEF,Escola Municipal Unidocente de Ensino Fundamental,EMUEF Fazenda Schultz,29645-000,32032374,EM ATIVIDADE,"","-40,7336050074778","-20,170431843629",1763
1460,"",Rural,"",Set/2010,(27) 3248-4513,3201902,IJSN,Municipal,s/n,Sim,Fundamental,Domingos Martins,Nossa Senhora do Carmo,EMUEF,Escola Municipal Unidocente de Ensino Fundamental,EMUEF Nossa Senhora do Carmo,29260-000,32028881,EM ATIVIDADE,"","-40,7323598237091","-20,1974980859924",1764
1461,Avenida Vitória,Desconhecido,"",jan/10,(27) 3328-4397,3205002,SEDU,Municipal,s/n,Sim,Fundamental,Serra,Central Carapina,EMEF,Escola Municipal de Ensino Fundamental,EMEF Antônio Vieira de Rezende,29161-536,32036264,EM ATIVIDADE,"","-40,2784334618814","-20,2185464471004",1765
1462,Rua I,Desconhecido,"",jan/10,(27) 3138-8869,3205002,SEDU,Municipal,s/n,Sim,Fundamental,Serra,Novo Horizonte,EMEF,Escola Municipal de Ensino Fundamental,EMEF Aureníria Correa Pimentel,29164-450,32036299,EM ATIVIDADE,"","-40,2492783898992","-20,2187358055295",1766
1463,Rua Humberto de Campos,Desconhecido,"",jan/10,(27) 3328-4367 / 3338-7640,3205002,SEDU,Municipal,s/n,Sim,Fundamental,Serra,Jardim Limoeiro,EMEF,Escola Municipal de Ensino Fundamental,EMEF Altair Siqueira Costa,29164-200,32036248,EM ATIVIDADE,"","-40,2656915209392","-20,2184435998301",1767
1464,Avenida Saturnino Rangel Mauro,Desconhecido,"",jan/10,(27) 2123-2600,3205309,SEDU,Privada,1401,Sim,"Infantil, Fundamental e Médio",Vitória,Jardim da Penha,EPSG,Escola de Primeiro e Segundo Grau,EPSG Nacional,29060-770,32065167,PARALISADA,"","-40,300622970423","-20,2866732606517",1768
1465,Rua Eugenílio Ramos,Desconhecido,"",jan/10,(27) 3325-1001 / 3325-6031,3205309,SEDU,Privada,1005,Sim,Médio,Vitória,Jardim da Penha,CE,Centro Educacional,CE União de Professores,29060-130,32077610,EM ATIVIDADE,"","-40,3005967454694","-20,2862536730983",1769
1466,Avenida Saturnino Rangel Mauro,Desconhecido,"",jul/10,(27) 2123-2900,3205309,IJSN,Privada,1401,Sim,Superior,Vitória,Jardim da Penha,FINAC,Faculdade Nacional,FINAC Faculdade Nacional,29060-770,1443,EM ATIVIDADE,"","-40,3005701048845","-20,2867295683115",1770
1467,Avenida Saturnino Rangel Mauro,Desconhecido,"",jan/10,(27) 3324-5635,3205309,SEDU,Privada,427,Não,"",Vitória,Pontal de Camburi,CEPAP,Centro Estudos Pesquisa Atividades Pedagogicas,CEPAP Centro Estudos Pesquisa Atividades Pedagogicas,29060-770,32041322,PARALISADA,"","-40,2938426256886","-20,2907481829031",1771
1468,Rua Santa Catarina,Desconhecido,"",jan/10,"",3205002,SEDU,Municipal,s/n,Não,"",Serra,Bicanga,EU,Escola Unidocente,EU Bicanga,29164-798,32036868,EXTINTA,"","-40,2016936377616","-20,2118345445623",1772
1469,Rua das Cidreiras,Desconhecido,"",jul/10,(27) 3243-6052,3205002,IJSN,Municipal,s/n,Sim,Infantil,Serra,Feu Rosa,CMEI,Centro Municipal de Educação Infantil,CMEI Gente Miuda,29172-160,32037082,EM ATIVIDADE,"","-40,2013171194682","-20,1734606446856",1773
1470,Rua Mestre Alvaro,Desconhecido,"",jan/10,(27) 3243-1677,3205002,SEDU,Municipal,s/n,Sim,Infantil,Serra,Manguinhos,CMEI,Centro Municipal de Educação Infantil,CMEI Vovó Ritinha,29173-039,32037058,EM ATIVIDADE,"","-40,1939311405202","-20,1981765208158",1774
1471,Rua 22 de Abril,Desconhecido,"",jan/10,(27) 3243-4518,3205002,SEDU,Estadual,s/n,Sim,Fundamental,Serra,Manguinhos,EEEF,Escola Estadual de Ensino Fundamental,EEEF Prefeito José Maria Miguel Feu Rosa,29173-041,32036027,EM ATIVIDADE,"","-40,1928438546873","-20,1938528728369",1775
1472,"",Rural,"",Nov/2010,"",3204559,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,Santa Maria de Jetibá,Comunidade Santa Luzia do Recreio,EMPEIEF,Escola Municipal Pluridocente de Ensino Infantil e Ensino Fundamental,EMPEIEF Santa Luzia,29645-000,32032439,EM ATIVIDADE,"","-40,7084593610007","-20,0206044985786",1776
1473,"",Rural,"",Nov/2010,"",3204559,IJSN,Municipal,s/n,Sim,Fundamental,Santa Maria de Jetibá,Comunidade de Caramurú,EMUEF,Escola Municipal Unidocente de Ensino Fundamental,EMUEF João Guilherme Gemano Borchardt,29645-000,32032323,EM ATIVIDADE,"","-40,7080685980812","-20,1081638353066",1777
1474,Parajú,Rural,"",Set/2010,"",3201902,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,Domingos Martins,Alto Tijuco Preto,EMPEF,Escola Municipal Pluridocente de Ensino Fundamental,EMPEF Alto Tijuco Preto,29273-000,32029195,EM ATIVIDADE,"","-40,7053122383257","-20,1962747579346",1778
1475,Rodovia Dr. Afonso Schwab,Rural,"",Nov/2010,(27) 3263-1933,3204559,IJSN,Estadual,km 5,Sim,Fundamental e Médio,Santa Maria de Jetibá,Comunidade de São Sebastião de Belém,EEEFM,Escola Estadual de Ensino Fundamental e Médio,EEEFM Professor Hermann Berger,29645-000,32032269,EM ATIVIDADE,"","-40,703651990791","-20,0493791160921",1779
1476,"",Rural,"",Nov/2010,"",3204559,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,Santa Maria de Jetibá,Comunidade de Baixo São Sebastião,EMPEIEF,Escola Municipal Pluridocente de Ensino Infantil e Ensino Fundamental,EMPEIEF Alcides Pimentel,29645-000,32032188,EM ATIVIDADE,"","-40,6888247236245","-20,056157445314",1780
1477,"",Rural,"",Nov/2010,(27) 3330-1015,3204559,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,Santa Maria de Jetibá,São José do Recreio,EMEIEF,Escola Municipal de Ensino Infantil e Fundamental,EMEIEF Recreio,29645-000,32032218,EM ATIVIDADE,"","-40,683808893669","-20,0220442235651",1781
1478,Avenida das Arábias,Desconhecido,"",jan/10,(27) 3241-2040 / 3328-0159,3205002,SEDU,Estadual,s/n,Sim,Fundamental e Médio,Serra,Cidade Continental,EEEFM,Escola Estadual de Ensino Fundamental e Médio,EEEFM Professora Maria Olinda de Oliveira Menezes,29163-480,32065370,EM ATIVIDADE,"","-40,2277008013256","-20,2205756051924",1782
1479,Rua dos Sanhaços,Desconhecido,"",jan/10,(27) 3328-4427 / 3318-7850,3205002,SEDU,Municipal,s/n,Sim,Fundamental,Serra,Novo Horizonte,EMEF,Escola Municipal de Ensino Fundamental,EMEF Novo Horizonte,29164-941,32067836,EM ATIVIDADE,"","-40,2475995242004","-20,2201281485627",1783
1480,Rua Stu,Desconhecido,"",jan/10,(27) 3228-2543,3205002,SEDU,Municipal,s/n,Sim,Infantil,Serra,Novo Horizonte,CMEI,Centro Municipal de Educação Infantil,CMEI Professora Leila Theodoro,29160-000,32068247,EM ATIVIDADE,"","-40,2470913997616","-20,2200614430367",1784
1481,Avenida Dois,Desconhecido,"",jan/10,(27) 3328-0787,3205002,SEDU,Municipal,s/n,Sim,Fundamental,Serra,Carapina Grande,EMEF,Escola Municipal de Ensino Fundamental,EMEF Lacy Zuleica Nunes,29161-220,32036370,EM ATIVIDADE,"","-40,2809941303892","-20,2190778801518",1785
1482,Avenida dos Índios,Desconhecido,"",jan/10,(27) 3238-7751,3205002,SEDU,Municipal,s/n,Sim,Infantil,Serra,Cidade Continental,CMEI,Centro Municipal de Educação Infantil,CMEI Primeiro Passo,29163-553,32068735,EM ATIVIDADE,"","-40,2301795372669","-20,2191479421375",1786
1483,Rua Nelson Monteiro,Desconhecido,"",jan/10,(27) 3239-2987,3205200,SEDU,Privada,111,Sim,Infantil e Fundamental,Vila Velha,Ibes,"","",Instituto Allan Kardec,29108-333,32039506,EM ATIVIDADE,"","-40,3164236835723","-20,352005500582",1787
1484,Rua Rosa,Desconhecido,"",jan/10,(27) 3349-6993,3205200,SEDU,Privada,180,Não,Infantil,Vila Velha,Jardim Colorado,"","",Escola Construir,29104-730,32039255,PARALISADA,"","-40,316278639289","-20,3610029098325",1788
1485,Avenida Nossa Senhora da Penha,Desconhecido,"",jan/10,(27) 3229-2631,3205200,SEDU,Privada,364,Sim,Infantil,Vila Velha,IBES,"","",Escolinha Nossa Senhora da Penha,29108-330,32039492,PARALISADA,"","-40,3160977257085","-20,3495056187798",1789
1486,Praça Chateaubriand,Desconhecido,"",jan/10,(27) 3149-9525,3205200,SEDU,Municipal,s/n,Sim,Infantil,Vila Velha,IBES,UMEI,Unidade Municipal de Ensino Infantil,UMEI Rosa Helena Frota Tristão,29108-900,32125011,EM ATIVIDADE,"","-40,3157561242979","-20,3512455287305",1790
1487,Rua Rosa,Desconhecido,"",jan/10,(27) 3399-7135 / 3033-5802,3205200,SEDU,Privada,74,Sim,Médio,Vila Velha,Jardim Colorado,CE,Centro Educacional,CE Elzira de Souza Caldeira,29104-610,32039026,EM ATIVIDADE,"","-40,3157914591379","-20,3600616517971",1791
